Source   2MASS/SSTc2d   EDR3_Dist_PPVII (pc)   Flux12CO (mJy km/s)  eFlux12CO   rms12CO   Cloud? Trapman? Binary?
Sz129               J15591647-4157102 160.13   1293.0    52.0     27.0     0      1 0
J15592523-4235066   J15592523-4235066 147.25      8.0    29.0     29.0     0      0 0
RYLup               J15592838-4021513 158      6615.0   521.0    -99.0   -99.0    1 0
J16000060-4221567   J16000060-4221567 159.43      4.0    28.4     28.4     0      0 0
J16000236-4222145   J16000236-4222145 160.39   2960.0   329.0    -99.0   -99.0    1 0 #SSTc2d J160002.4-422216
J16002612-4153553   J16002612-4153553 163.17     36.0    28.2     28.2     0      0 0
Sz130               J16003103-4143369 159.18    950.0   105.0     27.0     0      1 0
MYLup               J16004452-4155310 158      2184.0    89.0     35.0     0      1 0
Sz131               J16004943-4130038 160.62    367.0    57.0     29.0     1      1 0
J16011549-4152351   J16011549-4152351 158      2305.0   285.0    -99.0   -99.0    0 0
EXLup               J16030548-4018254 154.72   3906.0   224.0    -99.0   -99.0    0 0
Sz133               J16032939-4140018 158      2120.0   325.0    -99.0   -99.0    1 0
Sz88A               J16070061-3902194 157.64      8.0    27.8     27.8     0      0 1
Sz88B               J16070061-3902194 158.37     22.0    28.1     28.1     0      0 1 #different rms from Miotello+21
J16070384-3911113   J16070384-3911113 158      1130.0   245.0    -99.0   -99.0    1 0 #SSTc2d J160703.9-391112
J16070854-3914075   J16070854-3914075 171.28   2848.0   386.0     26.0     0      1 0
Sz90                J16071007-3911033 160.37    577.0    88.0     29.0     1      1 0
Sz91                J16071159-3903475 159.39   2700.0   452.0    -99.0   -99.0    1 0
J16073773-3921388   J16073773-3921388 162.45     64.0    28.7     28.7     0      0 0
Sz95                J16075230-3858059 160.47      6.0    28.7     28.7     0      0 0
J16075475-3915446   J16075475-3915446 158        27.0    28.2     28.2     1      0 0
J16080017-3902595   J16080017-3902595 161.13     67.0    28.6     28.6     0      0 0
J16080175-3912316   J16080175-3912316 158        26.0    27.3     27.3     0      0 0
Sz96                J16081263-3908334 155.97    221.0    55.0     29.0     0      1 0
J16081497-3857145   J16081497-3857145 150.83    343.0    56.0     26.0     0      1 0
Sz97                J16082180-3904214 157.34     46.0    27.9     27.9     0      0 0
Sz98                J16082249-3904464 156.27   3550.0   491.0     32.0     1      0 0
Sz99                J16082404-3905494 158.29     16.0    29.1     29.1     0      0 0
Sz100               J16082576-3906011 158      1086.0    70.0     23.0     1      1 0
Lup607              J160828.1-391310  169.79     45.0    28.8     28.8     0      0 0
Sz102               J16082972-3903110 158      1900.0   240.0     31.0     0      1 0
Sz103               J16083026-3906111 157.15     55.0    28.1     28.1     0      0 0
J16083070-3828268   J16083070-3828268 158      7281.0   553.0    -99.0   -99.0    1 0 #SSTc2d J160830.7-382827
Sz104               J16083081-3905488 159.81     44.0    28.1     28.1     0      0 0
J160831.1-385600    J160831.1-385600  158       -78.0    28.8     28.8     0      0 0
V856Sco             J16083427-3906181 158.59     34.0    28.4     28.4     0      0 0
V1094Sco            J16083617-3923024 158      5453.0   442.0    -99.0   -99.0    1 0
Sz106               J16083976-3906253 158.72     17.0    28.9     28.9     0      0 0
Sz108B              J160842.9-390615  161.22     34.0    28.7     28.7     1      0 0
J16084940-3905393   J16084940-3905393 160.19     39.0    28.7     28.7     0      0 1
V1192Sco            J16085143-3905304 147.1    1387.0   189.0     28.0     0      0 0
Sz110               J16085157-3903177 157.49     51.0    29.5     29.5     0      0 0
J16085324-3914401   J16085324-3914401 163       322.0    67.0     29.0     1      0 0
J16085373-3914367   J16085373-3914367 148.72     33.0    29.5     29.5     0      0 0
Sz111               J16085468-3937431 158.37   5963.0   539.0    -99.0   -99.0    1 0
J16085529-3848481   J16085529-3848481 155.61     42.0    29.0     29.0     0      0 0
Sz112               J16085553-3902339 159.3      36.0    28.1     28.1     0      0 0
Sz113               J16085780-3902227 160.53     27.0    28.1     28.1     0      0 0
J16085828-3907355   J16085828-3907355 158       -19.0    29.0     29.0     1      0 0
J16085834-3907491   J16085834-3907491 158       -24.0    29.5     29.5     1      0 0
J16090141-3925119   J16090141-3925119 159.2    2413.0   324.0    -99.0   -99.0    1 0 #SSTc2d J160901.4-392512
Sz114               J16090185-3905124 156.76    975.0   315.0     27.0     0      1 0 #different from Miotello+21. Resolved in Sanchis+21 cannot be undetected.
Sz115               J16090621-3908518 155.82      0.0    28.6     28.6     0      0 0
J16091644-3904438   J16091644-3904438 158       -21.0    30.8     30.8     1      0 0
J16092032-3904015   J16092032-3904015 158        28.7    28.7     28.7     0      0 0 #different upper limit from Miotello+21
J16092317-3904074   J16092317-3904074 158       -27.0    28.7     27.9     0      0 0 #different rms from Miotello+21
J16092697-3836269   J16092697-3836269 159.19    932.0    89.0     22.0     0      1 0 #SSTc2d J160927.0-383628
J160934.2-391513    J160934.2-391513  158        10.0    28.9     28.9     0      0 0
J16093928-3904316   J16093928-3904316 158       -15.0    28.4     28.4     1      0 0
Sz117               J16094434-3913301 156.95    -11.0    28.4     28.4     0      0 0
Sz118               J16094864-3911169 161.46   1070.0   137.0    -99.0   -99.0    1 0
Lup818s             J16095628-3859518 157.07     83.0    25.0     21.0     0      0 1
J16100133-3906449   J16100133-3906449 184.12      9.0    28.0     28.0     0      0 0
J16101307-3846165   J16101307-3846165 145.15     17.0    27.6     27.6     0      0 0
J16101857-3836125   J16101857-3836125 160.6     -65.5    28.5     28.5     0      0 0
J16101984-3836065   J16101984-3836065 158.76    -53.0    28.6     28.6     0      0 0
J16102741-3902299   J16102741-3902299 158        65.5    29.2     29.2     0      0 0
J16102955-3922144   J16102955-3922144 160.44   1131.0   237.0    -99.0   -99.0    1 0 #SSTc2d J161029.6-392215
Sz123B              J16105158-3853137 158         0.0    29.7     29.7     0      0 1
Sz123A              J16105158-3853137 162.19   1254.0   104.0     26.0     1      0 1 #different from Miotello+19. Resolved in Trapman+20 cannot be undetected.
J16115979-3823383   J16115979-3823383 160.4      -4.0    29.1     29.1     0      0 0
J16120445-3809589   J16120445-3809589 158         9.0    28.6     28.6     0      0 0
J16124373-3815031   J16124373-3815031 159.85    800.0    97.0     31.0     0      1 0 #SSTc2d J161243.8-381503
J16134410-3736462   J16134410-3736462 158.55     13.0    28.5     28.5     0      0 0
